Title,Concept,Difficulty,Acceptance,LeetCodeLink,popularity
Non-decreasing Array,Arrays & Hashing,Easy,19.40%,https://leetcode.com/problems/non-decreasing-array/,1124562
Degree of an Array,Arrays & Hashing,Easy,53.20%,https://leetcode.com/problems/degree-of-an-array/,434382
Search in a Sorted Array of Unknown Size,Binary Search,Medium,64.50%,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/,148531
Insert into a Sorted Circular Linked List,Linked List,Medium,31.20%,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/,603017
Letter Case Permutation,Arrays & Hashing,Easy,62.40%,https://leetcode.com/problems/letter-case-permutation/,456467
Rotated Digits,Arrays & Hashing,Easy,56.70%,https://leetcode.com/problems/rotated-digits/,212366
Rotate String,Arrays & Hashing,Easy,49.50%,https://leetcode.com/problems/rotate-string/,993846
Split Array With Same Average,Arrays & Hashing,Hard,26.10%,https://leetcode.com/problems/split-array-with-same-average/,160846
Split Array into Fibonacci Sequence,Arrays & Hashing,Medium,35.80%,https://leetcode.com/problems/split-array-into-fibonacci-sequence/,110569
Peak Index in a Mountain Array,Arrays & Hashing,Easy,71.00%,https://leetcode.com/problems/peak-index-in-a-mountain-array/,1514750
Shortest Subarray with Sum at Least K,Two Pointers,Hard,23.50%,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/,592725
Monotonic Array,Arrays & Hashing,Easy,56.90%,https://leetcode.com/problems/monotonic-array/,836287
Bitwise ORs of Subarrays,Bit Manipulation,Medium,36.30%,https://leetcode.com/problems/bitwise-ors-of-subarrays/,106024
Valid Permutations for DI Sequence,Arrays & Hashing,Hard,48.80%,https://leetcode.com/problems/valid-permutations-for-di-sequence/,32701
Sort Array By Parity,Arrays & Hashing,Easy,73.90%,https://leetcode.com/problems/sort-array-by-parity/,1202465
Sum of Subarray Minimums,Two Pointers,Medium,30.90%,https://leetcode.com/problems/sum-of-subarray-minimums/,949179
Partition Array into Disjoint Intervals,Intervals,Medium,44.70%,https://leetcode.com/problems/partition-array-into-disjoint-intervals/,188382
Sort Array By Parity II,Arrays & Hashing,Easy,68.30%,https://leetcode.com/problems/sort-array-by-parity-ii/,426338
Binary Subarrays With Sum,Two Pointers,Medium,41.30%,https://leetcode.com/problems/binary-subarrays-with-sum/,582438
Beautiful Array,Arrays & Hashing,Medium,57.00%,https://leetcode.com/problems/beautiful-array/,76231
Delete Columns to Make Sorted,Arrays & Hashing,Easy,70.00%,https://leetcode.com/problems/delete-columns-to-make-sorted/,277515
Minimum Increment to Make Array Unique,Arrays & Hashing,Medium,45.60%,https://leetcode.com/problems/minimum-increment-to-make-array-unique/,426955
Array of Doubled Pairs,Arrays & Hashing,Medium,35.40%,https://leetcode.com/problems/array-of-doubled-pairs/,247550
Delete Columns to Make Sorted II,Arrays & Hashing,Medium,32.70%,https://leetcode.com/problems/delete-columns-to-make-sorted-ii/,63960
